Date,Sentiment_Score,News_Volume
2020-03-21,0.25637699999999997,100
2020-03-22,0.41446799999999995,100
2020-03-23,0.43527,100
2020-03-24,0.467214,100
2020-03-25,0.39268000000000003,100
2020-03-26,0.392886,100
2020-03-27,0.471462,100
2020-03-28,0.21745599999999998,100
2020-03-29,0.364004,100
2020-03-30,0.333623,100
2020-03-31,0.41295099999999996,100
2020-04-01,0.330538,100
2020-04-02,0.35429099999999997,100
2020-04-03,0.25441800000000003,100
2020-04-04,0.28419,100
2020-04-05,0.308456,100
2020-04-06,0.317699,100
2020-04-07,0.278154,100
2020-04-08,0.37237000000000003,100
2020-04-09,0.446527,100
2020-04-10,0.502963,100
2020-04-11,0.342564,100
2020-04-12,0.489393,100
2020-04-13,0.297663,100
2020-04-14,0.33000399999999996,100
2020-04-15,0.453029,100
2020-04-16,0.276214,100
2020-04-17,0.461542,100
2020-04-18,0.258251,100
2020-04-19,0.375308,100
2020-04-20,0.44056199999999995,100
2020-04-21,0.21008700000000002,100
2020-04-22,0.37593000000000004,100
2020-04-23,0.338395,100
2020-04-24,0.305987,100
2020-04-25,0.3134,100
2020-04-26,0.390554,100
2020-04-27,0.404001,100
2020-04-28,0.385119,100
2020-04-29,0.47606099999999996,100
2020-04-30,0.34407000000000004,100
2020-05-01,0.3688,100
2020-05-02,0.367703,100
2020-05-03,0.501152,100
2020-05-04,0.32244700000000004,100
2020-05-05,0.375034,100
2020-05-06,0.42097,100
2020-05-07,0.393158,100
2020-05-08,0.497309,100
2020-05-09,0.501069,100
2020-05-10,0.38257399999999997,100
2020-05-11,0.469071,100
2020-05-12,0.381276,100
2020-05-13,0.217627,100
2020-05-14,0.233482,100
2020-05-15,0.173988,100
2020-05-16,0.370361,100
2020-05-17,0.556091,100
2020-05-18,0.591519,100
2020-05-19,0.46068,100
2020-05-20,0.5208569999999999,100
2020-05-21,0.431896,100
2020-05-22,0.29143399999999997,100
2020-05-23,0.3661,100
2020-05-24,0.47639200000000004,100
2020-05-25,0.324876,100
2020-05-26,0.564412,100
2020-05-27,0.39312600000000003,100
2020-05-28,0.337808,100
2020-05-29,0.499799,100
2020-05-30,0.308798,100
2020-05-31,0.444765,100
2020-06-01,0.339208,100
2020-06-02,0.347522,100
2020-06-03,0.47618900000000003,100
2020-06-04,0.607609,100
2020-06-05,0.513935,100
2020-06-06,0.390521978021978,91
2020-06-07,0.57338,100
2020-06-08,0.535179,100
2020-06-09,0.428371,100
2020-06-10,0.203114,100
2020-06-11,0.46176,100
2020-06-12,0.373487,100
2020-06-13,0.5509847222222223,72
2020-06-14,0.441961,100
2020-06-15,0.37788400000000005,100
2020-06-16,0.499076,100
2020-06-17,0.493711,100
2020-06-18,0.237039,100
2020-06-19,0.490738,100
2020-06-20,0.4970560606060606,66
2020-06-21,0.35611899999999996,100
2020-06-22,0.488801,100
2020-06-23,0.489297,100
2020-06-24,0.302502,100
2020-06-25,0.29564599999999996,100
2020-06-26,0.287139,100
2020-06-27,0.48912599999999995,100
2020-06-28,0.454505,100
2020-06-29,0.551566,100
2020-06-30,0.293803,100
2020-07-01,0.412424,100
2020-07-02,0.45516,100
2020-07-03,0.21067699999999998,100
2020-07-04,0.36566034482758625,58
2020-07-05,0.63462,100
2020-07-06,0.480927,100
2020-07-07,0.463095,100
2020-07-08,0.36478900000000003,100
2020-07-09,0.499658,100
2020-07-10,0.335743,100
2020-07-11,0.5370132075471699,53
2020-07-12,0.526886,100
2020-07-13,0.551687,100
2020-07-14,0.39297400000000005,100
2020-07-15,0.475122,100
2020-07-16,0.345502,100
2020-07-17,0.44091,100
2020-07-18,0.5513939393939394,66
2020-07-19,0.537782,100
2020-07-20,0.44392200000000004,100
2020-07-21,0.5398850000000001,100
2020-07-22,0.476059,100
2020-07-23,0.491434,100
2020-07-24,0.23845100000000002,100
2020-07-25,0.5539358974358974,78
2020-07-26,0.446832,100
2020-07-27,0.341465,100
2020-07-28,0.36056699999999997,100
2020-07-29,0.59771,100
2020-07-30,0.383378,100
2020-07-31,0.455782,100
2020-08-01,0.5118022471910112,89
2020-08-02,0.534679,100
2020-08-03,0.535023,100
2020-08-04,0.338911,100
2020-08-05,0.442177,100
2020-08-06,0.28707,100
2020-08-07,0.387066,100
2020-08-08,0.49847500000000006,100
2020-08-09,0.5616878048780488,82
2020-08-10,0.573978,100
2020-08-11,0.412429,100
2020-08-12,0.343095,100
2020-08-13,0.477117,100
2020-08-14,0.337751,100
2020-08-15,0.5423224719101124,89
2020-08-16,0.421502,100
2020-08-17,0.449681,100
2020-08-18,0.43278599999999995,100
2020-08-19,0.40137300000000004,100
2020-08-20,0.416215,100
2020-08-21,0.5175379999999999,100
2020-08-22,0.5585950000000001,80
2020-08-23,0.40285,100
